Period,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Pearson_signed_r,Pearson_signed_p
Holocene,0.2495791422352726,0.05884083101496873,0.354517210618598,0.006324818132945714,0.3470679550284453,0.0076037435592975705
LGM,0.7121750214043739,3.641356655041806e-10,0.6088467808914456,3.9591677918056877e-07,0.7526667659501465,9.533170618058994e-12
