lon,lat,PINN_log_dep,PINN_Diffusivity
-180.0,-90.0,-4.7483892,0.0014993639
-176.9747899159664,-90.0,-4.7243996,0.0015379626
-173.94957983193277,-90.0,-4.710638,0.0015467826
-170.92436974789916,-90.0,-4.701979,0.001542528
-167.89915966386553,-90.0,-4.7069726,0.0015232768
-164.87394957983193,-90.0,-4.7102833,0.0015129107
-161.84873949579833,-90.0,-4.6809435,0.0015238837
-158.8235294117647,-90.0,-4.657612,0.0015318646
-155.7983193277311,-90.0,-4.6371174,0.0015448758
-152.7731092436975,-90.0,-4.609139,0.0015594381
-149.74789915966386,-90.0,-4.5885334,0.0015716737
-146.72268907563026,-90.0,-4.559731,0.0015961494
-143.69747899159665,-90.0,-4.5446744,0.0016070355
-140.67226890756302,-90.0,-4.52859,0.0016237423
-137.64705882352942,-90.0,-4.503387,0.0016480355
-134.62184873949582,-90.0,-4.490235,0.0016604931
-131.5966386554622,-90.0,-4.47055,0.0016727946
-128.57142857142856,-90.0,-4.4976387,0.0016455451
-125.54621848739497,-90.0,-4.5356703,0.0016073594
-122.52100840336136,-90.0,-4.5736322,0.0015679175
-119.49579831932772,-90.0,-4.6027827,0.0015379362
-116.47058823529412,-90.0,-4.623598,0.0015252283
-113.44537815126051,-90.0,-4.6605186,0.0014918257
-110.4201680672269,-90.0,-4.686783,0.0014716003
-107.39495798319328,-90.0,-4.722234,0.0014471258
-104.36974789915966,-90.0,-4.755472,0.00141897
-101.34453781512605,-90.0,-4.7852807,0.0013971538
-98.31932773109244,-90.0,-4.8357058,0.0013571512
-95.29411764705884,-90.0,-4.865216,0.0013274251
-92.2689075630252,-90.0,-4.9036794,0.0012974909
-89.2436974789916,-90.0,-4.9305353,0.0012715831
-86.21848739495799,-90.0,-4.9690228,0.0012447708
-83.19327731092437,-90.0,-4.9823203,0.0012208194
-80.16806722689076,-90.0,-4.970094,0.0012002193
-77.14285714285714,-90.0,-4.961845,0.0011736378
-74.11764705882354,-90.0,-4.9615097,0.0011432306
-71.09243697478992,-90.0,-4.9548054,0.0011159959
-68.0672268907563,-90.0,-4.9243684,0.0010981162
-65.0420168067227,-90.0,-4.8948407,0.0010832563
-62.01680672268908,-90.0,-4.868353,0.0010653454
-58.991596638655466,-90.0,-4.849692,0.0010532484
-55.96638655462185,-90.0,-4.8559785,0.0010390495
-52.94117647058823,-90.0,-4.8851547,0.0010122188
-49.91596638655463,-90.0,-4.895238,0.0009959766
-46.89075630252103,-90.0,-4.901128,0.0009930143
-43.8655462184874,-90.0,-4.8987117,0.0009951998
-40.84033613445379,-90.0,-4.8950324,0.0009954736
-37.81512605042016,-90.0,-4.900882,0.0009946782
-34.78991596638656,-90.0,-4.9279847,0.0009915704
-31.76470588235296,-90.0,-4.951079,0.0009928487
-28.739495798319325,-90.0,-4.979043,0.0009905676
-25.71428571428572,-90.0,-4.9659905,0.0010019202
-22.68907563025209,-90.0,-4.9559655,0.0010070052
-19.66386554621849,-90.0,-4.923543,0.0010190248
-16.638655462184886,-90.0,-4.9262795,0.0010122699
-13.613445378151257,-90.0,-4.9378552,0.0009946061
-10.588235294117652,-90.0,-4.955371,0.0009704657
-7.563025210084049,-90.0,-4.976802,0.00095434
-4.537815126050418,-90.0,-5.0064664,0.00093309523
-1.5126050420168156,-90.0,-5.023824,0.00091588695
1.5126050420167871,-90.0,-5.0273757,0.0009039452
4.537815126050418,-90.0,-5.0144215,0.00089557417
7.563025210084021,-90.0,-5.047534,0.0008772629
10.588235294117652,-90.0,-5.081096,0.0008608701
13.613445378151257,-90.0,-5.1020894,0.0008498045
16.638655462184857,-90.0,-5.1014166,0.0008475788
19.66386554621849,-90.0,-5.099493,0.00084984495
22.68907563025209,-90.0,-5.0863156,0.00085417274
25.71428571428572,-90.0,-5.080915,0.00085130206
28.739495798319325,-90.0,-5.0624127,0.0008561247
31.764705882352928,-90.0,-5.043387,0.00085939665
34.78991596638656,-90.0,-5.0257664,0.0008660907
37.81512605042016,-90.0,-5.0127177,0.0008622058
40.84033613445376,-90.0,-4.9906,0.0008670618
43.8655462184874,-90.0,-4.9494934,0.0008768026
46.890756302521,-90.0,-4.910039,0.0008883457
49.9159663865546,-90.0,-4.882668,0.0008957732
52.94117647058823,-90.0,-4.8515406,0.0009058278
55.96638655462184,-90.0,-4.812202,0.00091988815
58.991596638655466,-90.0,-4.793036,0.0009251027
62.01680672268907,-90.0,-4.7590046,0.00093924906
65.04201680672267,-90.0,-4.7405553,0.00094573194
68.0672268907563,-90.0,-4.725316,0.0009537053
71.0924369747899,-90.0,-4.7127457,0.0009613942
74.11764705882354,-90.0,-4.711232,0.0009657235
77.14285714285711,-90.0,-4.697304,0.0009747894
80.16806722689074,-90.0,-4.6757,0.0009953954
83.19327731092437,-90.0,-4.633702,0.0010286109
86.21848739495795,-90.0,-4.5812674,0.0010708113
89.24369747899158,-90.0,-4.5510025,0.0011052844
92.2689075630252,-90.0,-4.515216,0.0011406017
95.29411764705884,-90.0,-4.4754624,0.0011810884
98.3193277310924,-90.0,-4.4575706,0.0012110048
101.34453781512605,-90.0,-4.4202013,0.0012566942
104.36974789915968,-90.0,-4.412852,0.0012830982
107.39495798319324,-90.0,-4.3816843,0.0013209989
110.42016806722688,-90.0,-4.3624115,0.0013546766
113.44537815126051,-90.0,-4.343754,0.0013889202
116.47058823529407,-90.0,-4.337108,0.0014166114
119.49579831932772,-90.0,-4.310297,0.0014591641
122.52100840336136,-90.0,-4.3122177,0.001488905
125.54621848739492,-90.0,-4.2995176,0.0015206501
128.57142857142856,-90.0,-4.3311543,0.0015257037
131.5966386554622,-90.0,-4.337584,0.0015419107
134.62184873949582,-90.0,-4.383512,0.0015352917
137.6470588235294,-90.0,-4.404503,0.0015456784
140.67226890756302,-90.0,-4.432147,0.0015535202
143.69747899159665,-90.0,-4.4489202,0.0015681208
146.72268907563023,-90.0,-4.4782066,0.0015765824
149.74789915966386,-90.0,-4.4877043,0.0015962415
152.7731092436975,-90.0,-4.5067587,0.0016106813
155.79831932773106,-90.0,-4.494694,0.0016499549
158.8235294117647,-90.0,-4.4718776,0.0016963657
161.84873949579833,-90.0,-4.460177,0.0017324154
164.8739495798319,-90.0,-4.4551454,0.0017691634
167.89915966386553,-90.0,-4.4284387,0.0018186505
170.92436974789916,-90.0,-4.4017043,0.0018606966
173.94957983193274,-90.0,-4.38976,0.0018994145
176.97478991596637,-90.0,-4.3737783,0.0019391968
180.0,-90.0,-4.3443274,0.0019908315
-180.0,-86.94915254237289,-4.3106427,0.001812302
-176.9747899159664,-86.94915254237289,-4.3076425,0.0018358734
-173.94957983193277,-86.94915254237289,-4.2856536,0.0018911486
-170.92436974789916,-86.94915254237289,-4.271936,0.0019348996
