lon,lat,PINN_log_dep,PINN_Diffusivity
-180.0,-90.0,-2.9489617,0.0013315355
-176.9747899159664,-90.0,-2.9258893,0.0013991318
-173.94957983193277,-90.0,-2.903875,0.0014760757
-170.92436974789916,-90.0,-2.8830888,0.0015500517
-167.89915966386553,-90.0,-2.8610125,0.001638554
-164.87394957983193,-90.0,-2.8407633,0.0017358317
-161.84873949579833,-90.0,-2.8247914,0.0018249933
-158.8235294117647,-90.0,-2.8100512,0.0019244009
-155.7983193277311,-90.0,-2.8039536,0.002005294
-152.7731092436975,-90.0,-2.7922945,0.0021043126
-149.74789915966386,-90.0,-2.77214,0.0022063293
-146.72268907563026,-90.0,-2.76517,0.0022956
-143.69747899159665,-90.0,-2.7530959,0.0023960024
-140.67226890756302,-90.0,-2.7448747,0.0024878033
-137.64705882352942,-90.0,-2.7300584,0.0025871808
-134.62184873949582,-90.0,-2.7215228,0.0026804267
-131.5966386554622,-90.0,-2.710688,0.0027620315
-128.57142857142856,-90.0,-2.7185936,0.002776373
-125.54621848739497,-90.0,-2.7186735,0.0027881428
-122.52100840336136,-90.0,-2.7328303,0.0027784186
-119.49579831932772,-90.0,-2.7320836,0.0027759061
-116.47058823529412,-90.0,-2.7363935,0.002740535
-113.44537815126051,-90.0,-2.730693,0.002694096
-110.4201680672269,-90.0,-2.7305171,0.002614994
-107.39495798319328,-90.0,-2.7301452,0.002564262
-104.36974789915966,-90.0,-2.7365882,0.002549414
-101.34453781512605,-90.0,-2.7426674,0.0025244209
-98.31932773109244,-90.0,-2.7470155,0.0024962737
-95.29411764705884,-90.0,-2.749942,0.0024537104
-92.2689075630252,-90.0,-2.7645156,0.002405725
-89.2436974789916,-90.0,-2.774755,0.0023551793
-86.21848739495799,-90.0,-2.787935,0.0022957246
-83.19327731092437,-90.0,-2.8021727,0.0022359528
-80.16806722689076,-90.0,-2.8121185,0.0021760492
-77.14285714285714,-90.0,-2.8220446,0.0021149847
-74.11764705882354,-90.0,-2.8320172,0.0020388395
-71.09243697478992,-90.0,-2.8416317,0.0019453071
-68.0672268907563,-90.0,-2.8539352,0.0018499285
-65.0420168067227,-90.0,-2.8596613,0.0017428164
-62.01680672268908,-90.0,-2.8601046,0.0016440914
